SamplingArea,Campaign,SampleSiteID,SampleSiteCode,Month,Day,Year,Longitude,Latitude,EPSG,GPS_source,Elevation_m,VegetationType,Site_Veg,Needles,FieldVegHeightMax_cm,FieldVegHeightMedian_cm,SoilMoisture_%_1,SoilMoisture_%_2,SoilMoisture_%_3,Foliar_IGSN
US,ER18,420,420-ER18,6,28,2018,38.976832,-107.066675,4326,RTK,2976.9,Meadow,Meadow,FALSE,55,40,8,6,8,IER1800AS
US,ER18,421,421-ER18,6,28,2018,38.976971,-107.066759,4326,RTK,2978.9,Meadow,Meadow,FALSE,35,10,12,14,14,IER1800AT
US,ER18,422,422-ER18,6,28,2018,38.97591,-107.065591,4326,RTK,2976.9,Meadow,Meadow,FALSE,54,20,6,7,7,IER1800AU
US,ER18,423,423-ER18,6,28,2018,38.975828,-107.065352,4326,RTK,2982,Meadow,Meadow,FALSE,64,25,8,7,8,IER1800AV
US,ER18,424,424-ER18,6,28,2018,38.974811,-107.066576,4326,RTK,2968.6,Shrub,PotFru,FALSE,83.1,,13,14,15,IER1800BR
US,ER18,425,425-ER18,6,28,2018,38.974758,-107.066719,4326,RTK,2965.9,Shrub,planifolia,FALSE,172.1,,10,5,9,IER1800B9
US,ER18,426,426-ER18,6,28,2018,38.975046,-107.066767,4326,RTK,2964.5,Shrub,boothii,FALSE,320,,9,9,7,IER18001L
US,ER18,427,427-ER18,6,28,2018,38.97565,-107.066022,4326,RTK,2974.3,Shrub,Gooseberry,FALSE,93.5,,9,8,8,IER18004P
US,ER18,428,428-ER18,6,28,2018,38.975754,-107.065489,4326,RTK,2980,Shrub,Raspberry,FALSE,66,,7,8,11,IER1800BS
US,ER18,429,429-ER18,6,28,2018,38.975779,-107.065109,4326,RTK,2991.6,Shrub,Juniper,TRUE,62.1,,11,7,7,IER18004T
US,ER18,430,430-ER18,6,28,2018,38.975525,-107.065176,4326,RTK,2990.4,Shrub,SorSco,FALSE,229.1,,8,6,8,IER1800C3
US,ER18,431,431-ER18,6,28,2018,38.975574,-107.067509,4326,RTK,2980.3,Shrub,boothii,FALSE,207.7,,20,10,9,IER18001M
US,ER18,432,432-ER18,6,28,2018,38.976189,-107.067314,4326,RTK,2986.7,Shrub,DisInv,FALSE,123.5,,5,3,3,IER180025
US,ER18,433,433-ER18,6,28,2018,38.976758,-107.066857,4326,RTK,2977.5,Shrub,Gooseberry,FALSE,99.9,,6,5,9,IER18004Q
US,ER18,434,434-ER18,6,28,2018,38.976855,-107.063534,4326,RTK,3055.9,Tree,Engelmann,TRUE,,,,,,IER180045
US,ER18,435,435-ER18,6,28,2018,38.976918,-107.06337,4326,RTK,3061.6,Tree,SubFir,TRUE,,,,,,IER1800CI
US,ER18,436,436-ER18,6,28,2018,38.976571,-107.064098,4326,RTK,3028.3,Tree,Aspen,FALSE,,,,,,IER18000U
US,ER18,437,437-ER18,6,28,2018,38.976806,-107.064869,4326,RTK,2995.1,Tree,Engelmann,TRUE,,,,,,IER180046
US,ER18,438,438-ER18,6,28,2018,38.976789,-107.064975,4326,RTK,2992.4,Tree,Engelmann,TRUE,,,,,,IER180047
US,ER18,439,439-ER18,7,23,2018,38.975495,-107.066906,4326,TrimbleGeoXT,2966.6,Shrub,planifolia,FALSE,151,,,,,IER1800BA
US,ER18,440,440-ER18,7,23,2018,38.975447,-107.067286,4326,TrimbleGeoXT,2973.6,Tree,Alder,FALSE,,,,,,IER180001
US,ER18,441,441-ER18,7,23,2018,38.975526,-107.067196,4326,TrimbleGeoXT,2974.3,Shrub,boothii,FALSE,192.8,,,,,IER18001N
US,ER18,442,442-ER18,7,23,2018,38.975468,-107.067108,4326,TrimbleGeoXT,2970.9,Shrub,geyer,FALSE,149.7,,,,,IER18004A
US,ER18,443,443-ER18,7,23,2018,38.97547,-107.067015,4326,TrimbleGeoXT,2968.1,Shrub,geyer,FALSE,98.1,,,,,IER18004B
PH,ER18,444,444-ER18,7,24,2018,,,,,,Shrub,wolfii,FALSE,141.7,,,,,IER1800D5
PH,ER18,445,445-ER18,7,24,2018,,,,,,Shrub,wolfii,FALSE,65.1,,,,,IER1800D6
PH,ER18,446,446-ER18,7,24,2018,,,,,,Shrub,wolfii,FALSE,144.2,,,,,IER1800D7
RW,ER18,447,447-ER18,7,25,2018,38.895138,-107.055345,4326,TrimbleGeoXT,3263.3,Shrub,planifolia,FALSE,156,,,,,IER1800BB
RW,ER18,448,448-ER18,7,25,2018,38.894959,-107.055299,4326,TrimbleGeoXT,3264.8,Shrub,planifolia,FALSE,233,,,,,IER1800BC
RW,ER18,449,449-ER18,7,25,2018,38.894922,-107.055344,4326,TrimbleGeoXT,3264.8,Meadow,CarSp,FALSE,,,,,,IER18001X
RW,ER18,450,450-ER18,7,25,2018,38.894319,-107.055171,4326,TrimbleGeoXT,3272.5,Shrub,planifolia,FALSE,99.3,,,,,IER1800BD
RW,ER18,451,451-ER18,7,25,2018,38.894302,-107.055243,4326,TrimbleGeoXT,3274,Shrub,planifolia,FALSE,160,,,,,IER1800BE
RW,ER18,452,452-ER18,7,25,2018,38.894333,-107.055276,4326,TrimbleGeoXT,3273.8,Meadow,CalStr,FALSE,,,,,,IER18001U
RW,ER18,453,453-ER18,7,25,2018,38.894282,-107.055089,4326,TrimbleGeoXT,3272.8,Meadow,CarAqu,FALSE,,,,,,IER18001V
LS,ER18,454,454-ER18,7,19,2018,,,,,,Shrub,geyer,FALSE,346.1,,,,,IER18004C
LS,ER18,455,455-ER18,7,19,2018,,,,,,Shrub,geyer,FALSE,245.3,,,,,IER18004D
LS,ER18,456,456-ER18,7,19,2018,,,,,,Shrub,geyer,FALSE,223.4,,,,,IER18004E
LS,ER18,457,457-ER18,7,19,2018,,,,,,Meadow,Meadow,FALSE,,,,,,IER1800AW
LC,ER18,458,458-ER18,7,27,2018,38.861323,-107.047094,4326,TrimbleGeoXT,2869.6,Shrub,geyer,FALSE,208.9,,,,,IER18004F
LC,ER18,459,459-ER18,7,27,2018,38.861282,-107.046908,4326,TrimbleGeoXT,2868.9,Shrub,geyer,FALSE,193.4,,,,,IER18004G
LC,ER18,460,460-ER18,7,27,2018,38.861097,-107.046666,4326,TrimbleGeoXT,2868.7,Shrub,drumm,FALSE,180.2,,,,,IER180028
RW,ER18,461,461-ER18,7,25,2018,38.894031,-107.05529,4326,TrimbleGeoXT,3277.4,Shrub,Bog Birch,FALSE,,,,,,IER18000V
RW,ER18,462,462-ER18,7,25,2018,38.894447,-107.053152,4326,TrimbleGeoXT,3284.1,Tree,Engelmann,TRUE,,,,,,IER180048
LC,ER18,463,463-ER18,7,27,2018,38.860938,-107.046985,4326,TrimbleGeoXT,2869.2,Shrub,wolfii,FALSE,89,,,,,IER1800D8
LC,ER18,464,464-ER18,7,27,2018,38.86105,-107.046998,4326,TrimbleGeoXT,2868.7,Meadow,CarUrt,FALSE,,,,,,IER18001Y
LC,ER18,465,465-ER18,7,27,2018,38.862329,-107.040086,4326,TrimbleGeoXT,2855.6,Shrub,geyer,FALSE,214.9,,,,,IER18004H
LC,ER18,466,466-ER18,7,27,2018,38.862215,-107.040158,4326,TrimbleGeoXT,2855.5,Shrub,drumm,FALSE,202.5,,,,,IER180029
LC,ER18,467,467-ER18,7,27,2018,38.862218,-107.040388,4326,TrimbleGeoXT,2856.7,Shrub,drumm,FALSE,197.6,,,,,IER18002A
LC,ER18,468,468-ER18,7,27,2018,38.862282,-107.040487,4326,TrimbleGeoXT,2855.9,Meadow,CarLen,FALSE,65,,,,,IER18001W
LC,ER18,469,469-ER18,7,30,2018,38.867383,-107.023035,4326,TrimbleGeoXT,2807.7,Shrub,boothii,FALSE,296.7,,,,,IER18001O
LC,ER18,470,470-ER18,7,30,2018,38.867429,-107.022713,4326,TrimbleGeoXT,2807.2,Shrub,wolfii,FALSE,129,,,,,IER1800D9
LC,ER18,471,471-ER18,7,30,2018,38.867677,-107.022195,4326,TrimbleGeoXT,2805.9,Shrub,boothii,FALSE,266.5,,,,,IER18001P
LC,ER18,472,472-ER18,7,30,2018,38.867855,-107.021832,4326,TrimbleGeoXT,2805.1,Shrub,geyer,FALSE,174.2,,,,,IER18004I
GS,ER18,474,474-ER18,7,30,2018,38.868239,-107.042181,4326,TrimbleGeoXT,3015.6,Tree,Lodgepole,TRUE,,,,,,IER180056
GS,ER18,475,475-ER18,7,30,2018,38.867972,-107.04175,4326,TrimbleGeoXT,3012.5,Tree,Lodgepole,TRUE,,,,,,IER180057
GS,ER18,476,476-ER18,7,30,2018,38.867825,-107.041729,4326,TrimbleGeoXT,3008,Tree,Lodgepole,TRUE,,,,,,IER180058
GS,ER18,477,477-ER18,7,30,2018,38.866244,-107.041369,4326,TrimbleGeoXT,3001.7,Tree,Engelmann,TRUE,,,,,,IER180049
GS,ER18,478,478-ER18,7,30,2018,38.866244,-107.040818,4326,TrimbleGeoXT,2953.3,Tree,Lodgepole,TRUE,,,,,,IER180059
