SamplingArea,SampleSiteCode,IGSN,CoverCode,Area_cm2,Wet_Weight_g,Dry_Weight_g,LMA_gm2,LWC_%,ImageName
MtC,395-ER18,IER18003Y,Engelmann,37.5169,2.52,1.4941,398.2,40.7,395-LMA.jpg
MtC,396-ER18,IER18003Z,Engelmann,20.9142,1.32,0.7603,363.5,42.4,396-LMA.jpg
MtC,397-ER18,IER1800CG,SubFir,31.2215,1.8,0.9744,312.1,45.9,397-LMA.jpg
MtC,398-ER18,IER180040,Engelmann,30.1338,1.98,1.1518,382.2,41.8,398-LMA.jpg
MtC,399-ER18,IER180041,Engelmann,33.0448,2.79,1.6467,498.3,41,399-LMA.jpg
US,400-ER18,IER180042,Engelmann,NA,3.3,1.9377,NA,41.3,NA
US,401-ER18,IER1800CH,SubFir,31.3132,1.96,1.0784,344.4,45,401-LMA.jpg
US,402-ER18,IER180043,Engelmann,39.2552,2.69,1.5401,392.3,42.7,402-LMA.jpg
US,403-ER18,IER180044,Engelmann,36.1693,2.41,1.3254,366.4,45,403-LMA.jpg
US,424-ER18,IER1800BR,PenFlo,71.6904,1.37,0.5357,74.7,60.9,424-LMA.jpg
US,425-ER18,IER1800B9,planifolia,177.1916,2.91,1.0371,58.5,64.4,425-LMA.jpg
US,426-ER18,IER18001L,boothii,180.2215,3.28,1.1032,61.2,66.4,426-LMA.jpg
US,427-ER18,IER18004P,Gooseberry,83.8402,1.42,0.5046,60.2,64.5,427-LMA.jpg
US,428-ER18,IER1800BS,Raspberry,118.537,1.76,0.677,57.1,61.5,428-LMA.jpg
US,429-ER18,IER18004T,Juniper,18.7828,0.68,0.3361,178.9,50.6,429-LMA.jpg
US,430-ER18,IER1800C3,SorSco,190.1589,3.87,1.3103,68.9,66.1,430-LMA.jpg
US,431-ER18,IER18001M,boothii,245.2642,4.16,1.4592,59.5,64.9,431-LMA.jpg
US,432-ER18,IER180025,DisInv,259.1856,4.44,1.3267,51.2,70.1,432-LMA.jpg
US,433-ER18,IER18004Q,Gooseberry,160.6534,2.5,0.9069,56.5,63.7,433-LMA.jpg
US,434-ER18,IER180045,Engelmann,49.2951,3.66,1.992,404.1,45.6,434-LMA.jpg
US,435-ER18,IER1800CI,SubFir,40.6752,2.57,1.3837,340.2,46.2,435-LMA.jpg
US,436-ER18,IER18000U,Aspen,214.1844,4.49,1.9734,92.1,56,436-LMA.jpg
US,437-ER18,IER180046,Engelmann,45.8985,3.57,1.9609,427.2,45.1,437-LMA.jpg
US,438-ER18,IER180047,Engelmann,28.3856,1.89,1.0798,380.4,42.9,438-LMA.jpg
US,439-ER18,IER1800BA,planifolia,133.2223,NA,1.0731,80.5,NA,439-LMA.jpg
US,440-ER18,IER180001,Alder,161.9016,NA,1.0405,64.3,NA,440-LMA.jpg
US,441-ER18,IER18001N,boothii,150.565,NA,1.1673,77.5,NA,441-LMA.jpg
US,442-ER18,IER18004A,geyer,140.3332,NA,0.9139,65.1,NA,442-LMA.jpg
US,443-ER18,IER18004B,geyer,118.0849,NA,0.9205,78,NA,443-LMA.jpg
PH,444-ER18,IER1800D5,wolfii,118.0132,NA,1.0697,90.6,NA,444-LMA.jpg
PH,445-ER18,IER1800D6,wolfii,95.0926,NA,0.7957,83.7,NA,445-LMA.jpg
PH,446-ER18,IER1800D7,wolfii,109.39,NA,0.8656,79.1,NA,446-LMA.jpg
RW,447-ER18,IER1800BB,planifolia,139.3316,NA,1.1586,83.2,NA,447-LMA.jpg
RW,448-ER18,IER1800BC,planifolia,120.6299,NA,0.8819,73.1,NA,448-LMA.jpg
RW,450-ER18,IER1800BD,planifolia,124.4438,NA,0.9466,76.1,NA,450-LMA.jpg
RW,451-ER18,IER1800BE,planifolia,102.9049,NA,0.8075,78.5,NA,451-LMA.jpg
LS,454-ER18,IER18004C,geyer,102.2375,NA,0.8707,85.2,NA,454-LMA.jpg
LS,455-ER18,IER18004D,geyer,108.4132,NA,0.9055,83.5,NA,455-LMA.jpg
