SampleSiteID,SampleSiteCode,SampleID,IGSN,Analysis_date_yymmdd,Site_Veg,AreaAllN2,AreaAllCO2,d15N,d13C,N_weight_percent,C_weight_percent
152,152-ER18,152-ER18-FO,IER18006W,190115,Meadow,117.354,185.5,1.22,-26.3,3.78,45.72
153,153-ER18,153-ER18-FO,IER18006X,190115,Meadow,125.321,195.353,2.56,-26.4,3.9,46.46
154,154-ER18,154-ER18-FO,IER18006Y,190115,Meadow,108.677,173.892,2.27,-24.88,3.68,44.98
155,155-ER18,155-ER18-FO,IER18006Z,190115,Meadow,148.101,190.843,0.35,-25.19,4.74,46.73
156,156-ER18,156-ER18-FO,IER180070,190115,Meadow,107.111,185.622,0.97,-25.92,3.45,45.68
157,157-ER18,157-ER18-FO,IER180071,190115,Meadow,85.687,183.887,1.7,-25.99,2.72,44.65
158,158-ER18,158-ER18-FO,IER180072,190115,Meadow,120.558,193.455,2.27,-25.69,3.79,46.54
159,159-ER18,159-ER18-FO,IER180073,190115,Meadow,104.01,187.944,2.54,-25.33,3.3,45.59
160,160-ER18,160-ER18-FO,IER180074,190115,Meadow,108.654,194.314,1.8,-25.29,3.37,46.12
161,161-ER18,161-ER18-FO,IER180075,190115,Meadow,101.465,180.27,1.94,-25.61,3.32,45.08
162,162-ER18,162-ER18-FO,IER180076,190115,Meadow,113.575,185.681,2.22,-26.31,3.64,45.51
163,163-ER18,163-ER18-FO,IER180077,190115,Meadow,109.043,178.669,2.98,-25.25,3.61,45.25
164,164-ER18,164-ER18-FO,IER180078,190115,Meadow,84.718,174.675,0.39,-25.96,2.68,42.34
165,165-ER18,165-ER18-FO,IER180079,190115,Meadow,101.194,178.59,-0.86,-27.43,3.25,43.84
166,166-ER18,166-ER18-FO,IER18007A,190115,Meadow,113.103,177.893,0.28,-25.09,3.78,45.42
167,167-ER18,167-ER18-FO,IER18007B,190115,Meadow,76.925,179.577,1.32,-26.09,2.49,44.55
168,168-ER18,168-ER18-FO,IER18007C,190115,Meadow,96.887,190.824,2.84,-24.19,3.02,45.49
169,169-ER18,169-ER18-FO,IER18007D,190115,Meadow,108.223,182.967,2.31,-25.35,3.5,45.23
170,170-ER18,170-ER18-FO,IER18007E,190115,Meadow,125.327,184.959,-0.25,-25.69,3.99,44.98
171,171-ER18,171-ER18-FO,IER18007F,190115,Meadow,120.922,177.234,1.18,-26.09,3.92,43.9
172,172-ER18,172-ER18-FO,IER18007G,190115,Meadow,122.327,187.631,0.68,-26.6,3.85,45.14
173,173-ER18,173-ER18-FO,IER18007H,190115,Meadow,104.726,190.11,2.9,-24.17,3.32,46.12
174,174-ER18,174-ER18-FO,IER18007I,190115,Meadow,82.174,171.638,-0.51,-27.2,2.8,44.82
175,175-ER18,175-ER18-FO,IER18007J,190110,Meadow,82.648,183.761,0.97,-27.48,2.64,45.71
176,176-ER18,176-ER18-FO,IER18007K,190110,Meadow,100.862,184.717,2.59,-26.45,3.28,46.75
177,177-ER18,177-ER18-FO,IER180033,190110,Engelmann,23.281,191.135,NA,-26.39,0.73,46.83
178,178-ER18,178-ER18-FO,IER180034,190110,Engelmann,22.667,183.747,NA,-27.32,0.73,46.27
179,179-ER18,179-ER18-FO,IER180035,190110,Engelmann,26.564,182.749,0.64,-26.32,0.83,44.58
180,180-ER18,180-ER18-FO,IER18007L,190110,Meadow,79.86,179.508,2.63,-27.43,2.55,44.65
181,181-ER18,181-ER18-FO,IER180036,190110,Engelmann,NA,NA,NA,NA,NA,NA
182,182-ER18,182-ER18-FO,IER18007M,190110,Meadow,77.906,183.487,4.08,-27.17,2.45,44.95
183,183-ER18,183-ER18-FO,IER180037,190110,Engelmann,25.266,173.707,0.73,-26.13,0.85,45.37
184,184-ER18,184-ER18-FO,IER18000H,190110,Aspen,107.878,204.98,1.2,-24.97,3.46,51.14
185,185-ER18,185-ER18-FO,IER18000I,190110,Aspen,105.915,199.6,0.06,-25.47,3.31,48.57
186,186-ER18,186-ER18-FO,IER18000J,190110,Aspen,113.968,205.547,-0.11,-24.9,3.54,49.76
187,187-ER18,187-ER18-FO,IER180038,190110,Engelmann,25.901,180.745,0.25,-27.22,0.87,47.13
188,188-ER18,188-ER18-FO,IER1800C6,190110,SubFir,34.793,192.47,-0.03,-27.28,1.11,47.85
189,189-ER18,189-ER18-FO,IER1800BL,190110,PenFlo,78.824,175.041,4.04,-27.02,2.52,43.58
190,190-ER18,190-ER18-FO,IER1800B1,190110,planifolia,93.253,190.312,1.11,-26.71,2.89,45.93
191,191-ER18,191-ER18-FO,IER18001C,190110,boothii,112.741,196.43,0.18,-25.36,3.62,49.13
192,192-ER18,192-ER18-FO,IER180027,190110,drumm,100.473,196.09,-0.99,-27.03,3.2,48.68
193,193-ER18,193-ER18-FO,IER1800B2,190110,planifolia,79.334,162.553,-3.72,-25.68,2.47,39.36
194,194-ER18,194-ER18-FO,IER1800B3,190110,planifolia,80.58,170.931,1.77,-27.11,2.52,41.67
195,195-ER18,195-ER18-FO,IER1800B4,190110,planifolia,70.572,169.563,-0.8,-27.05,2.26,42.23
196,196-ER18,196-ER18-FO,IER1800BM,190110,PenFlo,73.662,186.514,-0.56,-26.91,2.31,45.45
197,197-ER18,197-ER18-FO,IER18001D,190110,boothii,106.622,178.672,1.92,-26.14,3.5,45.7
198,198-ER18,198-ER18-FO,IER1800BN,190110,PenFlo,80.416,176.076,-0.13,-26.68,2.5,42.6
199,199-ER18,199-ER18-FO,IER18007N,190206,Meadow,112.723,189.043,-3.44,-26.85,3.46,44.93
200,200-ER18,200-ER18-FO,IER18007O,190206,Meadow,99.447,173.699,-2.03,-26.65,3.34,45.09
201,201-ER18,201-ER18-FO,IER18007P,190206,Meadow,80.488,196.857,-2.11,-26.48,2.59,49.1
202,202-ER18,202-ER18-FO,IER18007Q,190206,Meadow,95.781,179.017,0.06,-26.78,3.03,43.87
203,203-ER18,203-ER18-FO,IER18007R,190206,Meadow,101.559,162.964,1.69,-26.09,3.41,42.33
204,204-ER18,204-ER18-FO,IER18007S,190206,Meadow,90.282,188.33,1.95,-26.65,2.86,46.11
205,205-ER18,205-ER18-FO,IER18007T,190206,Meadow,112.623,187.338,0.6,-25.14,3.54,45.58
206,206-ER18,206-ER18-FO,IER18007U,190206,Meadow,120.037,180.261,-1.26,-25.35,3.8,44.16
207,207-ER18,207-ER18-FO,IER18007V,190206,Meadow,116.639,172.959,-1.28,-26.84,3.71,42.62
208,208-ER18,208-ER18-FO,IER18007W,190206,Meadow,113.389,188.581,-1.36,-26.29,3.52,45.32
209,209-ER18,209-ER18-FO,IER18007X,190206,Meadow,96.112,180.886,-1.91,-24.87,3.09,45.02
210,210-ER18,210-ER18-FO,IER18007Y,190206,Meadow,91.075,180.485,-3.94,-26.6,3.01,46.18
211,211-ER18,211-ER18-FO,IER18007Z,190206,Meadow,103.937,184.622,-1.76,-26.24,3.29,45.23
212,212-ER18,212-ER18-FO,IER180080,190206,Meadow,102.523,189.582,-1.68,-26.1,3.18,45.52
213,213-ER18,213-ER18-FO,IER180081,190206,Meadow,83.808,184.822,2.2,-26.46,2.64,45.01
214,214-ER18,214-ER18-FO,IER180082,190206,Meadow,93.996,186.637,-0.39,-26.21,2.95,45.38
215,215-ER18,215-ER18-FO,IER180083,190206,Meadow,93.749,182.113,-0.92,-26.76,2.89,43.43
